,buildings/construction measures(Number),Building(Number),volume(1000 cbm),construction measures(Number),floor space(1000 sqm),Apartments(Number),living space of the apartments(1000 sqm),Other residential units(Number),Living space of the other residential units(1000 sqm),living rooms(Number),Estimated cost of construction(Thousand EUR),buildings/construction measures(Number),Building(Number),volume(1000 cbm),construction measures(Number),floor space()1000 sqm,Apartments(Number),living space of the apartments(1000 sqm),Other residential units(Number),Living space of the other residential units(1000 sqm),"living rooms(	Number)",Estimated cost of construction(Thousand EUR),buildings/construction measures(Number),Building(Number),volume(1000 cbm),construction measures(Number),floor space(1000 sqm),Apartments(Number),living space of the apartments(1000 sqm),Other residential units(Number),Living space of the other residential units(1000 sqm),"living rooms(	Number)",Estimated cost of construction(Thousand EUR)
2001,289794,-,-,-,47286,290978,33846,3980,148,1501724,74438183,-,201112,386486,-,43135,262037,29358,3784,125,1328303,61535980,-,-,-,88682,4151,28941,4488,196,22,173421,12902204
2002,278340,-,-,-,40711,274117,32694,5090,170,1442298,69969522,-,195389,347377,-,37442,248411,28554,5213,161,1285362,58406046,-,-,-,82951,3269,25706,4140,-123,9,156936,11563476
2003,298787,-,-,-,38251,296823,36050,4881,134,1584175,70778695,-,212334,348574,-,35610,267576,31434,5042,137,1405750,59196728,-,-,-,86453,2641,29247,4616,-161,-3,178425,11581967
2004,271944,-,-,-,35491,268679,32490,6779,225,1424911,63502486,-,188449,318597,-,32838,240432,28003,6569,204,1252968,52737904,-,-,-,83495,2654,28247,4487,210,20,171943,10764582
2005,242123,-,-,-,34256,240571,28807,6997,218,1247974,58011846,-,169029,299508,-,31151,215306,25021,7047,204,1104811,48028212,-,-,-,73094,3105,25265,3786,-50,14,143163,9983634
2006,247986,-,-,-,37513,247793,29731,6525,200,1274245,61796505,-,171578,329672,-,34505,220723,25728,5512,173,1122753,50839867,-,-,-,76408,3008,27070,4003,1013,27,151492,10956638
2007,188274,-,-,-,38393,182771,21438,5570,168,898295,55107422,-,123385,309653,-,35051,161070,18271,5585,163,786377,44674291,-,-,-,64889,3342,21701,3167,-15,4,111918,10433131
2008,184059,-,-,-,43415,174691,20473,3897,140,846627,58972895,-,119092,341755,-,39259,151700,17324,4265,136,735225,47667989,-,-,-,64967,4157,22991,3149,-368,4,111402,11304906
2009,184564,-,-,-,36169,177570,20882,4537,151,857207,59541888,-,119026,289178,-,33380,157029,17890,4456,137,752214,46956529,-,-,-,65538,2789,20541,2992,81,14,104993,12585359
2010,191299,-,-,-,35731,187632,22114,3639,113,899718,58912518,-,125661,294472,-,32761,167759,19165,3437,100,798717,46684667,-,-,-,65638,2971,19873,2949,202,13,101001,12227851
